"","Date","Concentration"
"1","2020-01-01",60.3478260869565
"2","2020-01-02",65.4231959541063
"3","2020-01-03",66.3229166666667
"4","2020-01-04",36.4209692028986
"5","2020-01-05",52.0104166666667
"6","2020-01-06",57.203125
"7","2020-01-07",79.8377868357488
"8","2020-01-08",90.6742149758454
"9","2020-01-09",73.777702294686
"10","2020-01-10",39.8374849033816
"11","2020-01-11",49.2272727272727
"12","2020-01-12",63.9184782608696
"13","2020-01-13",71.2282736134638
"14","2020-01-14",64.1115914580589
"15","2020-01-15",72.6306612318841
"16","2020-01-16",59.8688584211682
"17","2020-01-17",40.2934027777778
"18","2020-01-18",44.4632397342995
"19","2020-01-19",18.7708333333333
"20","2020-01-20",19.1579861111111
"21","2020-01-21",18.793115942029
"22","2020-01-22",29.1542218021424
"23","2020-01-23",38.7596093257719
"24","2020-01-24",42.9601449275362
"25","2020-01-25",32.8434265010352
"26","2020-01-26",34.5652173913044
"27","2020-01-27",37.8594369694948
"28","2020-01-28",19.8468696552345
"29","2020-01-29",21.6413943649293
"30","2020-01-30",25.138955222515
"31","2020-01-31",25.5893719806763
"32","2020-02-01",17.557895531401
"33","2020-02-02",31.203125
"34","2020-02-03",43.0153446342305
"35","2020-02-04",54.6944444444444
"36","2020-02-05",47.2881944444444
"37","2020-02-06",54.4377264492754
"38","2020-02-07",53.229393115942
"39","2020-02-08",48.046875
"40","2020-02-09",38.265625
"41","2020-02-10",50.2113073671498
"42","2020-02-11",53.9892879647133
"43","2020-02-12",51.802915735808
"44","2020-02-13",38.6560990338164
"45","2020-02-14",46.8836805555556
"46","2020-02-15",44.8194444444444
"47","2020-02-16",37.5451388888889
"48","2020-02-17",37.0625
"49","2020-02-18",37.092315821256
"50","2020-02-19",48.6901830808081
"51","2020-02-20",71.1635869565217
"52","2020-02-21",61.3863979468599
"53","2020-02-22",63.9878472222222
"54","2020-02-23",50.6590428743961
"55","2020-02-24",60.8934178743961
"56","2020-02-25",50.6715730676328
"57","2020-02-26",22.0053592995169
"58","2020-02-27",25.6064232138317
"59","2020-02-28",53.9191337719298
"60","2020-02-29",21.4601449275362
"61","2020-03-01",11.0525362318841
"62","2020-03-02",14.2372159090909
"63","2020-03-03",20.6852657004831
"64","2020-03-04",19.7971014492754
"65","2020-03-05",16.4298418972332
"66","2020-03-06",19.8514492753623
"67","2020-03-07",32.6721014492754
"68","2020-03-08",33.9492753623188
"69","2020-03-09",32.3723669997299
"70","2020-03-10",65.6467391304348
"71","2020-03-11",64.7251890359168
"72","2020-03-12",53.5548991808444
"73","2020-03-13",40.3136420919975
"74","2020-03-14",21.1769848771267
"75","2020-03-15",14.9180844360428
"76","2020-03-16",15.9621212121212
"77","2020-03-17",16.6339792060491
"78","2020-03-18",30.0926275992439
"79","2020-03-19",17.9784183994959
"80","2020-03-20",13.0253623188406
"81","2020-03-21",12.0634057971014
"82","2020-03-22",8.96376811594203
"83","2020-03-23",15.9003623188406
"84","2020-03-24",11.3712980466289
"85","2020-03-25",15.945652173913
"86","2020-03-26",20.5670289855072
"87","2020-03-27",13.9221014492754
"88","2020-03-28",16.6992753623188
"89","2020-03-29",17.7108538122243
"90","2020-03-30",8.41485507246377
"91","2020-03-31",17.1939981096408
"92","2020-04-01",18.6621770636421
"93","2020-04-02",16.0659262759924
"94","2020-04-03",19.2807971014493
"95","2020-04-04",12.3460144927536
"96","2020-04-05",8.48913043478261
"97","2020-04-06",11.8496376811594
"98","2020-04-07",15.5882167611846
"99","2020-04-08",17.0491493383743
"100","2020-04-09",11.0652173913043
"101","2020-04-10",7.95833333333333
"102","2020-04-11",7.77355072463768
"103","2020-04-12",6.37351921865154
"104","2020-04-13",14.4518746061752
"105","2020-04-14",15.3985507246377
"106","2020-04-15",11.9209199747952
"107","2020-04-16",13.6811594202899
"108","2020-04-17",15.6428008821676
"109","2020-04-18",12.9996777796872
"110","2020-04-19",7.35573122529644
"111","2020-04-20",14.8786231884058
"112","2020-04-21",9.56884057971014
"113","2020-04-22",14.8218264879418
"114","2020-04-23",15.4006886308399
"115","2020-04-24",13.7826086956522
"116","2020-04-25",9.05797101449275
"117","2020-04-26",6.0018115942029
"118","2020-04-27",9.42163715053229
"119","2020-04-28",10.0506458727158
"120","2020-04-29",11.8398248792271
"121","2020-04-30",6.76215277777778
"122","2020-05-01",3.94965277777778
"123","2020-05-02",6.96686292270531
"124","2020-05-03",11.7216938405797
"125","2020-05-04",16.0363828502415
"126","2020-05-05",10.921875
"127","2020-05-06",24.2032828282828
"128","2020-05-07",13.5299667874396
"129","2020-05-08",11.8498915788318
"130","2020-05-09",6.10069444444444
"131","2020-05-10",3.14583333333333
"132","2020-05-11",7.46354166666667
"133","2020-05-12",15.0608234808035
"134","2020-05-13",11.6579968944099
"135","2020-05-14",15.2048611111111
"136","2020-05-15",10.4728260869565
"137","2020-05-16",5.84948015122873
"138","2020-05-17",6.15430056710775
"139","2020-05-18",16.8463919082126
"140","2020-05-19",18.8298611111111
"141","2020-05-20",18.2320830588494
"142","2020-05-21",20.6233393719807
"143","2020-05-22",21.1162439613527
"144","2020-05-23",12.3151419082126
"145","2020-05-24",5.71875
"146","2020-05-25",15.0135075006356
"147","2020-05-26",13.4340277777778
"148","2020-05-27",13.8996074879227
"149","2020-05-28",13.9277626811594
"150","2020-05-29",24.1649305555556
"151","2020-05-30",15.5843900966184
"152","2020-05-31",9.89824879227053
"153","2020-06-01",19.8727972661397
"154","2020-06-02",22.6305404589372
"155","2020-06-03",17.8779369784805
"156","2020-06-04",13.8245988612836
